"DATE","WEEKDAY","HOLIDAY","MONTHYEAR","YEAR","MONTH","DAYMONTH","WEEKEND","AWND","PRCP","PRCP_LVL","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT06","WT08","WT09","BIKE","TAXI","GREEN","TRAFFIC","ACCIDENTS"
"2013-07-01","Monday",FALSE,"2013-07",2013,"July","07-01",FALSE,18.4,25,"Moderate",0,0,22.8,25.6,21.7,230,190,33.8,41.7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,16650,422480,NA,NA,633
"2013-07-02","Tuesday",FALSE,"2013-07",2013,"July","07-02",FALSE,19.4,6,"Slight",0,0,22.8,26.1,21.7,210,220,33.8,38.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,22745,442300,NA,NA,601
"2013-07-03","Wednesday",FALSE,"2013-07",2013,"July","07-03",FALSE,15.5,2,"Slight",0,0,23.3,27.2,21.1,190,190,32,38.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,21864,435265,NA,NA,635
"2013-07-04","Thursday",TRUE,"2013-07",2013,"July","07-04",FALSE,16.9,0,"None",0,0,25,28.9,22.2,190,190,32,38.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,22326,326471,NA,NA,438
"2013-07-05","Friday",FALSE,"2013-07",2013,"July","07-05",FALSE,16.9,0,"None",0,0,26.1,30.6,22.8,190,320,37,48.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,21842,353054,NA,NA,575
"2013-07-06","Saturday",FALSE,"2013-07",2013,"July","07-06",TRUE,18,0,"None",0,0,27.8,33.9,23.9,230,180,32,51.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20467,355218,NA,NA,517
"2013-07-07","Sunday",FALSE,"2013-07",2013,"July","07-07",TRUE,16.9,0,"None",0,0,28.3,31.1,25.6,270,170,33.8,51.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20477,358766,NA,NA,475
"2013-07-08","Monday",FALSE,"2013-07",2013,"July","07-08",FALSE,20.9,0,"None",0,0,27.2,30.6,23.3,210,210,35.2,46.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,21615,413838,NA,NA,617
"2013-07-09","Tuesday",FALSE,"2013-07",2013,"July","07-09",FALSE,16.2,0,"None",0,0,26.1,30.6,22.8,190,240,22.7,35.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,26641,458674,NA,NA,583
"2013-07-10","Wednesday",FALSE,"2013-07",2013,"July","07-10",FALSE,14.4,2,"Slight",0,0,25.6,29.4,22.2,190,190,32,37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,25732,474780,NA,NA,614
"2013-07-11","Thursday",FALSE,"2013-07",2013,"July","07-11",FALSE,11.2,0,"None",0,0,25.6,31.1,22.8,270,170,32,45.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,24417,495023,NA,NA,550
"2013-07-12","Friday",FALSE,"2013-07",2013,"July","07-12",FALSE,19.8,7,"Slight",0,0,24.4,26.1,21.1,40,60,27.4,37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19006,507426,NA,NA,599
"2013-07-13","Saturday",FALSE,"2013-07",2013,"July","07-13",TRUE,12.2,0,"None",0,0,23.9,29.4,21.7,70,60,24.1,29.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,26119,468743,NA,NA,575
"2013-07-14","Sunday",FALSE,"2013-07",2013,"July","07-14",TRUE,18,0,"None",0,0,26.7,31.7,22.8,200,170,33.8,57.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,29287,435797,NA,NA,471
"2013-07-15","Monday",FALSE,"2013-07",2013,"July","07-15",FALSE,10.8,0,"None",0,0,29.4,36.1,25,330,150,25.9,41.7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,28069,443449,NA,NA,581
"2013-07-16","Tuesday",FALSE,"2013-07",2013,"July","07-16",FALSE,16.9,0,"None",0,0,30.6,35.6,25.6,20,360,27.4,38.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,29842,466846,NA,NA,582
"2013-07-17","Wednesday",FALSE,"2013-07",2013,"July","07-17",FALSE,11.5,0,"None",0,0,30.6,35,26.1,330,290,24.1,45.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,30550,496511,NA,NA,609
"2013-07-18","Thursday",FALSE,"2013-07",2013,"July","07-18",FALSE,14.8,0,"None",0,0,30,37.8,25,190,200,29.1,37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,28869,513766,NA,NA,636
"2013-07-19","Friday",FALSE,"2013-07",2013,"July","07-19",FALSE,18.7,0,"None",0,0,30,35,26.7,190,190,33.8,40.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,26591,515946,NA,NA,697
"2013-07-20","Saturday",FALSE,"2013-07",2013,"July","07-20",TRUE,22.3,1,"Slight",0,0,30,35.6,25,240,250,45.1,56.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,25278,485994,NA,NA,551
"2013-07-21","Sunday",FALSE,"2013-07",2013,"July","07-21",TRUE,13.3,0,"None",0,0,27.8,31.1,23.9,140,NA,24.1,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,30297,414532,NA,NA,447
"2013-07-22","Monday",FALSE,"2013-07",2013,"July","07-22",FALSE,12.2,2,"Slight",0,0,25.6,30,23.3,110,130,24.1,33.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,25979,440457,NA,NA,591
"2013-07-23","Tuesday",FALSE,"2013-07",2013,"July","07-23",FALSE,18,10,"Slight",0,0,26.1,30.6,22.8,190,190,33.8,40.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32376,465257,NA,NA,571
"2013-07-24","Wednesday",FALSE,"2013-07",2013,"July","07-24",FALSE,17.3,0,"None",0,0,27.2,31.1,21.1,360,300,25.9,40.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,35271,476404,NA,NA,571
"2013-07-25","Thursday",FALSE,"2013-07",2013,"July","07-25",FALSE,21.6,1,"Slight",0,0,20,21.1,17.2,20,20,35.2,45.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,31084,487993,NA,NA,506
"2013-07-26","Friday",FALSE,"2013-07",2013,"July","07-26",FALSE,17.3,0,"None",0,0,21.7,28.9,17.8,190,190,29.1,35.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,34534,483652,NA,NA,617
"2013-07-27","Saturday",FALSE,"2013-07",2013,"July","07-27",TRUE,13.3,0,"None",0,0,23.3,27.2,20,160,160,25.9,32,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32470,457849,NA,NA,516
"2013-07-28","Sunday",FALSE,"2013-07",2013,"July","07-28",TRUE,13,2,"Slight",0,0,22.8,25.6,20,140,140,29.1,38.5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,23508,415239,NA,NA,485
"2013-07-29","Monday",FALSE,"2013-07",2013,"July","07-29",FALSE,13.7,0,"None",0,0,24.4,28.9,21.7,270,270,32,38.5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,34915,409210,NA,NA,597
"2013-07-30","Tuesday",FALSE,"2013-07",2013,"July","07-30",FALSE,14,0,"None",0,0,25,29.4,19.4,320,270,27.4,37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,37334,443487,NA,NA,584
"2013-07-31","Wednesday",FALSE,"2013-07",2013,"July","07-31",FALSE,13,0,"None",0,0,24.4,27.8,20,180,70,24.1,37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,37261,459413,NA,NA,553
"2013-08-01","Thursday",FALSE,"2013-08",2013,"August","08-01",FALSE,16.2,17,"Moderate",0,0,22.2,25,20,170,160,33.8,38.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20138,307260,12,NA,643
"2013-08-02","Friday",FALSE,"2013-08",2013,"August","08-02",FALSE,16.6,0,"None",0,0,23.9,29.4,20,190,NA,27.4,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,35792,236748,13,NA,626
"2013-08-03","Saturday",FALSE,"2013-08",2013,"August","08-03",TRUE,18,0,"None",0,0,23.9,25.6,21.1,240,NA,27.4,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,29540,226553,1,NA,492
"2013-08-04","Sunday",FALSE,"2013-08",2013,"August","08-04",TRUE,17.6,0,"None",0,0,23.9,28.3,19.4,300,300,37,59.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,35253,202310,NA,NA,454
"2013-08-05","Monday",FALSE,"2013-08",2013,"August","08-05",FALSE,16.9,0,"None",0,0,22.2,26.7,17.8,350,310,27.4,35.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,36776,406380,107,NA,544
"2013-08-06","Tuesday",FALSE,"2013-08",2013,"August","08-06",FALSE,14,0,"None",0,0,22.2,26.7,17.8,180,60,29.1,38.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,37702,448250,22,NA,542
"2013-08-07","Wednesday",FALSE,"2013-08",2013,"August","08-07",FALSE,17.6,0,"None",0,0,23.3,26.7,21.1,160,170,32,38.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,34396,465632,70,NA,508
"2013-08-08","Thursday",FALSE,"2013-08",2013,"August","08-08",FALSE,22,18,"Moderate",0,0,23.3,27.2,21.1,180,170,38.5,40.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,28366,437140,74,NA,549
"2013-08-09","Friday",FALSE,"2013-08",2013,"August","08-09",FALSE,21.6,0,"None",0,0,24.4,27.8,23.3,180,180,38.5,46.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,29017,489301,92,NA,579
"2013-08-10","Saturday",FALSE,"2013-08",2013,"August","08-10",TRUE,16.6,0,"None",0,0,25.6,29.4,21.7,330,320,37,51.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,37201,445037,59,NA,495
"2013-08-11","Sunday",FALSE,"2013-08",2013,"August","08-11",TRUE,13.3,0,"None",0,0,23.3,27.2,18.9,190,190,25.9,29.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,33060,195405,40,NA,481
"2013-08-12","Monday",FALSE,"2013-08",2013,"August","08-12",FALSE,8.3,12,"Moderate",0,0,23.3,26.7,20.6,340,350,20.9,22.7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,31457,399261,130,NA,519
"2013-08-13","Tuesday",FALSE,"2013-08",2013,"August","08-13",FALSE,10.4,19,"Moderate",0,0,22.2,24.4,20.6,90,260,22.7,25.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,22437,449946,160,NA,552
"2013-08-14","Wednesday",FALSE,"2013-08",2013,"August","08-14",FALSE,26.6,0,"None",0,0,21.1,25,16.1,310,300,41.7,51.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,38150,457843,181,NA,622
"2013-08-15","Thursday",FALSE,"2013-08",2013,"August","08-15",FALSE,16.2,0,"None",0,0,20.6,25,15.6,190,NA,32,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,37386,473544,193,NA,599
"2013-08-16","Friday",FALSE,"2013-08",2013,"August","08-16",FALSE,10.4,0,"None",0,0,21.7,26.1,17.2,170,100,22.7,33.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,35991,449766,271,NA,678
"2013-08-17","Saturday",FALSE,"2013-08",2013,"August","08-17",TRUE,9,0,"None",0,0,22.2,27.2,16.7,180,210,20.9,25.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,37285,438088,220,NA,504
"2013-08-18","Sunday",FALSE,"2013-08",2013,"August","08-18",TRUE,7.2,0,"None",0,0,21.7,25.6,18.9,100,150,19.5,32,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,27612,390925,165,NA,442
"2013-08-19","Monday",FALSE,"2013-08",2013,"August","08-19",FALSE,18,0,"None",0,0,21.7,25.6,18.3,190,180,35.2,40.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,33127,397350,216,NA,462
"2013-08-20","Tuesday",FALSE,"2013-08",2013,"August","08-20",FALSE,13,0,"None",0,0,23.9,29.4,20,210,200,29.1,35.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,35843,432545,220,NA,542
"2013-08-21","Wednesday",FALSE,"2013-08",2013,"August","08-21",FALSE,14,0,"None",0,0,25,31.1,20.6,190,200,27.4,33.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,36315,454080,232,NA,562
"2013-08-22","Thursday",FALSE,"2013-08",2013,"August","08-22",FALSE,12.2,2,"Slight",0,0,23.3,26.7,22.2,250,240,25.9,33.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,26629,471247,293,NA,577
"2013-08-23","Friday",FALSE,"2013-08",2013,"August","08-23",FALSE,19.1,0,"None",0,0,24.4,28.9,20.6,360,360,35.2,41.7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,33503,464484,362,NA,636
"2013-08-24","Saturday",FALSE,"2013-08",2013,"August","08-24",TRUE,14.8,0,"None",0,0,22.2,26.1,17.8,40,30,27.4,33.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32941,448491,420,NA,527
"2013-08-25","Sunday",FALSE,"2013-08",2013,"August","08-25",TRUE,18,0,"None",0,0,22.2,27.2,17.2,200,210,32,38.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,31755,400758,377,NA,459
"2013-08-26","Monday",FALSE,"2013-08",2013,"August","08-26",FALSE,21.2,1,"Slight",0,0,23.3,28.9,20,230,300,33.8,40.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,29979,394409,422,NA,521
"2013-08-27","Tuesday",FALSE,"2013-08",2013,"August","08-27",FALSE,18.4,1,"Slight",0,0,25.6,31.1,22.2,360,350,37,45.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,34208,422802,432,NA,506
"2013-08-28","Wednesday",FALSE,"2013-08",2013,"August","08-28",FALSE,7.6,0,"None",0,0,25,29.4,20.6,150,150,20.9,25.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,28185,444727,539,NA,482
"2013-08-29","Thursday",FALSE,"2013-08",2013,"August","08-29",FALSE,14.4,0,"None",0,0,23.9,27.8,21.1,40,30,27.4,35.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,34215,455453,642,NA,572
